# LDWF coastal-transect waterfowl population estimates, Louisiana Department of
# Wildlife & Fisheries. 74 monthly reports, 20 seasons 2004-05 to 2023-24.
# Source: wlf.louisiana.gov -> Resources -> Waterfowl -> Aerial Surveys,
#   assets/Resources/Publications/Waterfowl/Aerial-Surveys/
#     Louisiana_Aerial_Waterfowl_Survey_<Month>_<Year>.pdf
# Rebuild this file with: python3 extract_louisiana_pdfs.py <folder-of-PDFs>
#
# These are the 27-transect ZONE estimates flown coastwide below US-90, which is
# what the two Louisiana anchors describe. They are NOT the per-WMA counts in
# louisiana_wma_aerial.csv -- those cover a small subset of the same zone.
#
# ducks_teal_excluded = TOTAL DUCKS - BW TEAL - GW TEAL, all three read off the
# sheet, so teal exclusion is exact rather than estimated.
#
# LDWF flies four surveys a season: early September, early November, early
# December, early January. There is NO October flight and nothing after about
# January 11, so Oct1/Oct2 are interpolated and Jan2 is unmeasured.
#
# Validated against each sheet's own printed TOTALS column: 70 of 74 reconcile
# exactly. The other four are LDWF's own arithmetic -- in January 2018 the sheet
# prints TOTAL DUCKS of 2,136,000 for the southwest while its own dabbler and
# diver subtotals for that zone sum to 2,146,000.
zone,season,month,day,total_ducks,bw_teal,gw_teal,ducks_teal_excluded,source_file
SOUTHWEST,2017,11,6,968000,135000,144000,689000,Louisiana_Aerial_Waterfowl_Survey_November_2017.pdf
SOUTHWEST,2017,12,11,1690000,91000,265000,1334000,Louisiana_Aerial_Waterfowl_Survey_December_2017.pdf
SOUTHWEST,2018,1,9,1293000,52000,330000,911000,Louisiana_Aerial_Waterfowl_Survey_January_2019.pdf
SOUTHWEST,2018,9,10,57000,48000,0,9000,Louisiana_Aerial_Waterfowl_Survey_September_2018.pdf
SOUTHWEST,2018,11,5,247000,67000,10000,170000,Louisiana_Aerial_Waterfowl_Survey_November_2018.pdf
SOUTHWEST,2018,12,10,886000,102000,134000,650000,Louisiana_Aerial_Waterfowl_Survey_December_2018.pdf
SOUTHWEST,2019,1,6,1481000,84000,348000,1049000,Louisiana_Aerial_Waterfowl_Survey_January_2020.pdf
SOUTHWEST,2019,9,9,119000,110000,0,9000,Louisiana_Aerial_Waterfowl_Survey_September_2019.pdf
SOUTHWEST,2019,11,4,597000,66000,44000,487000,Louisiana_Aerial_Waterfowl_Survey_November_2019.pdf
SOUTHWEST,2019,12,13,1090000,122000,91000,877000,Louisiana_Aerial_Waterfowl_Survey_December_2019.pdf
SOUTHWEST,2020,1,4,1321000,68000,327000,926000,Louisiana_Aerial_Waterfowl_Survey_January_2021.pdf
SOUTHWEST,2020,9,8,220000,202000,0,18000,Louisiana_Aerial_Waterfowl_Survey_September_2020.pdf
SOUTHWEST,2020,11,9,527000,106000,12000,409000,Louisiana_Aerial_Waterfowl_Survey_November_2020.pdf
SOUTHWEST,2020,12,14,1195000,128000,188000,879000,Louisiana_Aerial_Waterfowl_Survey_December_2020.pdf
SOUTHWEST,2021,1,3,1097000,160000,200000,737000,Louisiana-Aerial-Waterfowl-Survey-January-2022.pdf
SOUTHWEST,2021,9,7,216000,209000,0,7000,Louisiana_Aerial_Waterfowl_Survey_September_2021.pdf
SOUTHWEST,2021,11,8,829000,253000,102000,474000,Louisiana_Aerial_Waterfowl_Survey_November_2021.pdf
SOUTHWEST,2021,12,13,874000,152000,165000,557000,Louisiana_Aerial_Waterfowl_Survey_December_2021.pdf
SOUTHWEST,2022,1,4,1227000,80000,345000,802000,Louisiana_Aerial_Waterfowl_Survey_January_2023.pdf
SOUTHWEST,2022,9,6,267000,257000,0,10000,Louisiana-Aerial-Waterfowl-Survey-September-2022.pdf
SOUTHWEST,2022,11,7,644000,171000,118000,355000,Louisiana_Aerial-Waterfowl-Survey-November-2022.pdf
SOUTHWEST,2022,12,12,1387000,102000,711000,574000,Louisiana-Aerial-Waterfowl-Survey-December-2022.pdf
SOUTHWEST,2023,11,6,2000,63000,98000,0,Louisiana_Aerial_Waterfowl_Survey_November_2023.pdf
